181,181,13,0111,Rongdurin
182,182,13,0112,Landak
183,183,13,0113,Basanah
184,184,13,0114,Poter
185,185,13,0115,Patemon
186,186,13,0116,Dlembeh Dajah
187,187,13,0117,Dlambah Laok
188,188,13,0118,Mrecah
189,189,13,0119,Buddan
190,190,14,0001,Soket Laok
191,191,14,0002,Soket Dajah
192,192,14,0003,Pamorah
193,193,14,0004,Banyubeseh
194,194,14,0005,Pocong
195,195,14,0006,Tragah
196,196,14,0007,Karang Leman
197,197,14,0008,Dukotambin
198,198,14,0009,Keteleng
199,199,14,0110,Alang Alang
200,200,14,0111,Kemoning
201,201,14,0112,Tambin
202,202,14,0113,Bajeman
203,203,14,0114,Jaddung
204,204,14,0115,Pacangan
205,205,14,0116,Bancang
206,206,14,0117,Ja ah
207,207,14,0118,Masaran
208,208,15,0001,Blega
209,209,15,0002,Rosep
210,210,15,0003,Nyomanes
211,211,15,0004,Alas Rajah
212,212,15,0005,Blega Olah
213,213,15,0006,Karang Nangkah
214,214,15,0007,Karang Panasan
215,215,15,0008,Karang Gayam
216,216,15,0009,Lomaer
217,217,15,0110,Bates
218,218,15,0111,Lombang Laok
219,219,15,0112,Lombang Dajah
220,220,15,0113,Karpote
221,221,15,0114,Kajjan
222,222,15,0115,Panjalinan
223,223,15,0116,Geddungan
224,224,15,0117,Kampao
225,225,15,0118,Ko olan
226,226,15,0119,Gigir
227,227,16,0001,Patereman
228,228,16,0002,Paeng
229,229,16,0003,Kolla
230,230,16,0004,Neroh
231,231,16,0005,Langpanggang
232,232,16,0006,Patenteng
233,233,16,0007,Srabi Barat
234,234,16,0008,Srabi Timur
235,235,16,0009,Pangpajung
236,236,16,0110,Karanganyar
237,237,16,0111,Alas Kokon
238,238,16,0112,Pakong
239,239,16,0113,Gligis
240,240,16,0114,Brakah Dajah
241,241,16,0115,Modung
242,242,16,0116,Suwaan
243,243,16,0117,Manggan
244,244,17,0001,Bandung
245,245,17,0002,Konang
246,246,17,0003,Genteng
247,247,17,0004,Pakes
248,248,17,0005,Cangkareman
249,249,17,0006,Sen Asen
250,250,17,0007,Sambiyan
251,251,17,0008,Campor
252,252,17,0009,Galis Dajah
253,253,17,0110,Kanagareh
254,254,17,0111,Durin Barat
255,255,17,0112,Durin Timur
256,256,17,0113,Batok Kaban
257,257,18,0001,Tellok
258,258,18,0002,Daleman
259,259,18,0003,Blateran
260,260,18,0004,Paterongan
261,261,18,0005,Kajuanak
262,262,18,0006,Longkek
263,263,18,0007,Galis
264,264,18,0008,Pekadan
265,265,18,0009,Bangpendah
266,266,18,0110,Pakaan Dajah
267,267,18,0111,Pakaan Laok
268,268,18,0112,Kranggan Timur
269,269,18,0113,Separah
270,270,18,0114,Banjar
271,271,18,0115,Tlagah
272,272,18,0116,Lantek Barat
273,273,18,0117,Lantek Timor
274,274,18,0118,Kelbung
